timestamp,entry_id,temperature,rh,voltage
2022-09-06T03:12:11Z,145,20,72,
2022-09-06T03:17:11Z,146,20,72,
2022-09-06T03:22:10Z,147,20,73,
2022-09-06T03:27:10Z,148,20,73,
2022-09-06T03:32:10Z,149,20,73,
2022-09-06T03:37:09Z,150,20,73,
2022-09-06T03:42:08Z,151,20,72,
2022-09-06T03:47:08Z,152,20,72,
2022-09-06T03:52:07Z,153,20,72,
2022-09-06T03:57:07Z,154,20,72,
2022-09-06T04:02:06Z,155,20,72,
2022-09-06T04:07:06Z,156,20,72,
2022-09-06T04:12:05Z,157,20,72,
2022-09-06T04:17:05Z,158,20,72,
2022-09-06T04:22:05Z,159,20,72,
2022-09-06T04:27:04Z,160,20,72,
2022-09-06T04:32:03Z,161,20,72,
2022-09-06T04:37:03Z,162,20,72,
2022-09-06T04:42:03Z,163,20,72,
2022-09-06T04:47:03Z,164,20,72,
2022-09-06T04:52:01Z,165,20,72,
2022-09-06T04:57:01Z,166,20,72,
2022-09-06T05:02:01Z,167,20,72,
2022-09-06T05:07:00Z,168,20,72,
2022-09-06T05:12:00Z,169,20,72,
2022-09-06T05:17:00Z,170,20,72,
2022-09-06T05:21:59Z,171,20,72,
2022-09-06T05:26:58Z,172,20,72,
2022-09-06T05:31:59Z,173,20,72,
2022-09-06T05:36:58Z,174,20,72,
2022-09-06T05:41:57Z,175,20,72,
2022-09-06T05:46:57Z,176,20,72,
2022-09-06T05:51:56Z,177,20,72,
2022-09-06T05:56:56Z,178,20,72,
2022-09-06T06:01:55Z,179,20,72,
2022-09-06T06:06:54Z,180,20,73,
2022-09-06T06:11:54Z,181,20,73,
2022-09-06T06:16:54Z,182,20,72,
2022-09-06T06:21:53Z,183,20,72,
2022-09-06T06:26:53Z,184,20,72,
2022-09-06T06:31:52Z,185,20,72,
2022-09-06T06:36:51Z,186,20,72,
2022-09-06T06:41:52Z,187,20,72,
2022-09-06T06:46:50Z,188,20,72,
2022-09-06T06:51:50Z,189,20,72,
2022-09-06T06:56:49Z,190,20,72,
2022-09-06T07:01:49Z,191,20,72,
2022-09-06T07:06:48Z,192,20,72,
2022-09-06T07:11:48Z,193,20,72,
2022-09-06T07:16:48Z,194,20,72,
2022-09-06T07:21:47Z,195,20,72,
2022-09-06T07:26:47Z,196,20,72,
2022-09-06T07:31:46Z,197,20,72,
2022-09-06T07:36:45Z,198,20,72,
2022-09-06T07:41:45Z,199,20,72,
2022-09-06T07:46:45Z,200,20,72,
2022-09-06T07:51:44Z,201,20,72,
2022-09-06T07:56:43Z,202,20,72,
2022-09-06T08:01:43Z,203,20,72,
2022-09-06T08:06:43Z,204,20,72,
2022-09-06T08:11:42Z,205,20,72,
2022-09-06T08:16:42Z,206,20,72,
2022-09-06T08:21:41Z,207,20,72,
2022-09-06T08:26:41Z,208,20,72,
2022-09-06T08:31:40Z,209,20,73,
2022-09-06T08:36:40Z,210,20,73,
2022-09-06T08:41:39Z,211,20,72,
2022-09-06T08:46:39Z,212,20,72,
2022-09-06T08:51:38Z,213,20,72,
2022-09-06T08:56:38Z,214,20,72,
2022-09-06T09:01:38Z,215,20,72,
2022-09-06T09:06:38Z,216,20,72,
2022-09-06T09:11:37Z,217,20,72,
2022-09-06T09:16:36Z,218,20,72,
2022-09-06T09:21:37Z,219,20,72,
2022-09-06T09:26:35Z,220,20,73,
2022-09-06T09:31:35Z,221,20,73,
2022-09-06T09:36:35Z,222,20,73,
2022-09-06T09:41:34Z,223,20,73,
2022-09-06T09:46:34Z,224,20,73,
2022-09-06T09:51:33Z,225,20,73,
2022-09-06T09:56:33Z,226,20,73,
2022-09-06T10:01:32Z,227,20,73,
2022-09-06T10:06:32Z,228,20,73,
2022-09-06T10:11:31Z,229,20,72,
2022-09-06T10:16:31Z,230,20,72,
2022-09-06T10:21:30Z,231,20,72,
2022-09-06T10:26:30Z,232,20,72,
2022-09-06T10:31:29Z,233,20,72,
2022-09-06T10:36:29Z,234,20,72,
2022-09-06T10:41:28Z,235,20,72,
2022-09-06T10:46:28Z,236,20,72,
2022-09-06T10:51:27Z,237,20,72,
2022-09-06T10:56:27Z,238,20,73,
2022-09-06T11:01:26Z,239,20,72,
2022-09-06T11:06:26Z,240,20,72,
2022-09-06T11:11:25Z,241,20,73,
2022-09-06T11:16:25Z,242,20,73,
2022-09-06T11:21:25Z,243,20,73,
2022-09-06T11:26:24Z,244,20,73,
2022-09-06T11:28:58Z,245,,,1
2022-09-06T11:31:24Z,246,20,73,
2022-09-06T11:36:23Z,247,20,73,
2022-09-06T11:41:23Z,248,20,73,
2022-09-06T11:46:22Z,249,20,72,
2022-09-06T11:51:22Z,250,20,73,
2022-09-06T11:56:21Z,251,20,73,
2022-09-06T12:01:21Z,252,20,73,
2022-09-06T12:06:21Z,253,20,73,
2022-09-06T12:11:20Z,254,20,73,
2022-09-06T12:16:20Z,255,20,73,
2022-09-06T12:21:19Z,256,20,73,
2022-09-06T12:26:19Z,257,20,73,
2022-09-06T12:31:18Z,258,20,75,
2022-09-06T12:34:32Z,259,,,1
2022-09-06T12:36:19Z,260,20,74,
2022-09-06T12:41:16Z,261,20,54,
2022-09-06T12:46:15Z,262,20,50,
2022-09-06T12:51:14Z,263,19,49,
2022-09-06T12:56:13Z,264,19,49,
2022-09-06T13:01:13Z,265,19,49,
2022-09-06T13:06:12Z,266,18,50,
2022-09-06T13:11:12Z,267,18,50,
2022-09-06T13:16:11Z,268,18,50,
2022-09-06T13:21:11Z,269,18,51,
2022-09-06T13:26:10Z,270,18,51,
2022-09-06T13:31:10Z,271,18,51,
2022-09-06T13:36:10Z,272,18,51,
2022-09-06T13:41:09Z,273,18,52,
2022-09-06T13:46:09Z,274,18,52,
2022-09-06T13:51:08Z,275,18,53,
2022-09-06T13:56:07Z,276,18,53,
2022-09-06T14:01:07Z,277,18,53,
2022-09-06T14:06:07Z,278,18,54,
2022-09-06T14:11:06Z,279,18,54,
2022-09-06T14:16:06Z,280,19,55,
2022-09-06T14:21:06Z,281,18,55,
2022-09-06T14:26:05Z,282,19,55,
2022-09-06T14:31:05Z,283,19,56,
2022-09-06T14:36:04Z,284,19,54,
2022-09-06T14:41:04Z,285,19,53,
2022-09-06T14:49:58Z,286,24,71,
2022-09-06T14:50:06Z,287,25,57,
2022-09-06T14:50:15Z,288,25,55,
2022-09-06T14:50:23Z,289,25,55,
2022-09-06T14:50:32Z,290,25,55,
2022-09-06T14:50:40Z,291,25,55,
2022-09-06T14:50:49Z,292,25,55,
2022-09-06T14:50:57Z,293,25,55,
2022-09-06T14:51:36Z,294,24,57,
2022-09-06T14:51:44Z,295,25,58,
2022-09-06T14:51:53Z,296,25,57,
2022-09-06T14:52:01Z,297,24,56,
2022-09-06T14:52:10Z,298,25,56,
2022-09-06T14:52:18Z,299,25,55,
2022-09-06T14:52:27Z,300,25,55,
2022-09-06T14:52:35Z,301,25,55,
2022-09-06T14:52:43Z,302,25,55,
2022-09-06T14:52:52Z,303,25,55,
2022-09-06T14:53:00Z,304,25,55,
2022-09-06T14:53:09Z,305,25,55,
2022-09-06T14:53:17Z,306,25,55,
2022-09-06T14:53:26Z,307,25,55,
2022-09-06T14:53:28Z,308,25,55,
2022-09-06T14:56:46Z,309,24,68,
2022-09-06T14:56:55Z,310,25,60,
2022-09-06T14:57:03Z,311,25,56,
2022-09-06T14:57:12Z,312,25,55,
2022-09-06T14:57:20Z,313,25,55,
2022-09-06T14:57:28Z,314,25,54,
2022-09-06T14:57:37Z,315,25,54,
2022-09-06T14:57:45Z,316,25,55,
2022-09-06T14:57:54Z,317,25,54,
2022-09-06T14:58:44Z,318,24,57,
2022-09-06T14:58:53Z,319,25,57,
2022-09-06T14:59:01Z,320,25,55,
2022-09-06T14:59:10Z,321,25,54,
